0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","May 31, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"May 31, 2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"May 31, 2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"May 31, 2025"
1,Automobile and Auto Components,501610,32,0,0,0,0,0,0,0,0,0,501642,58608,4,0,0,0,0,0,0,0,0,0,58612,1610,0,0,0,0,0,0,0,0,0,0,1610,188,0,0,0,0,0,0,0,0,0,0,188,-1509,0,0,0,0,0,0,0,0,0,0,-1509,-177,0,0,0,0,0,0,0,0,0,0,-177,491804,32,220,0,0,0,0,0,0,0,0,492056,57536,4,26,0,0,0,0,0,0,0,0,57566,"May 31, 2025"
2,Capital Goods,353582,628,39,0,0,0,0,0,0,0,0,354249,41313,73,5,0,0,0,0,0,0,0,0,41391,2233,-4,0,0,0,0,0,0,0,0,0,2229,261,0,0,0,0,0,0,0,0,0,0,261,3094,-5,0,0,0,0,0,0,0,0,0,3089,362,-1,0,0,0,0,0,0,0,0,0,361,378879,623,39,0,0,0,0,0,0,0,0,379541,44325,73,5,0,0,0,0,0,0,0,0,44403,"May 31, 2025"
3,Chemicals,125730,0,523,0,0,0,0,0,0,0,0,126253,14690,0,61,0,0,0,0,0,0,0,0,14751,833,0,0,0,0,0,0,0,0,0,0,833,97,0,0,0,0,0,0,0,0,0,0,97,475,0,0,0,0,0,0,0,0,0,0,475,56,0,0,0,0,0,0,0,0,0,0,56,127574,0,523,0,0,0,0,0,0,0,0,128097,14925,0,61,0,0,0,0,0,0,0,0,14986,"May 31, 2025"
4,Construction,123480,95,0,0,102,0,0,0,0,0,0,123677,14427,11,0,0,12,0,0,0,0,0,0,14450,-190,0,0,0,-1,0,0,0,0,0,0,-191,-22,0,0,0,0,0,0,0,0,0,0,-22,457,0,0,0,-1,0,0,0,0,0,0,456,53,0,0,0,0,0,0,0,0,0,0,53,127222,95,0,0,106,0,0,0,0,0,0,127423,14884,11,0,0,12,0,0,0,0,0,0,14907,"May 31, 2025"
5,Construction Materials,119140,1250,0,0,0,0,0,0,0,0,0,120390,13920,146,0,0,0,0,0,0,0,0,0,14066,155,0,0,0,0,0,0,0,0,0,0,155,18,0,0,0,0,0,0,0,0,0,0,18,420,0,0,0,0,0,0,0,0,0,0,420,49,0,0,0,0,0,0,0,0,0,0,49,113475,1250,0,0,0,0,0,0,0,0,0,114725,13275,146,0,0,0,0,0,0,0,0,0,13421,"May 31, 2025"
6,Consumer Durables,197016,0,0,0,0,0,0,0,0,0,0,197016,23019,0,0,0,0,0,0,0,0,0,0,23019,-622,0,0,0,0,0,0,0,0,0,0,-622,-73,0,0,0,0,0,0,0,0,0,0,-73,-1112,0,0,0,0,0,0,0,0,0,0,-1112,-130,0,0,0,0,0,0,0,0,0,0,-130,191917,0,0,0,0,0,0,0,0,0,0,191917,22452,0,0,0,0,0,0,0,0,0,0,22452,"May 31, 2025"
7,Consumer Services,297253,930,50,0,0,0,0,0,0,0,0,298233,34731,109,6,0,0,0,0,0,0,0,0,34846,1240,-42,0,0,0,0,0,0,0,0,0,1198,145,-5,0,0,0,0,0,0,0,0,0,140,-1731,0,0,0,0,0,0,0,0,0,0,-1731,-203,0,0,0,0,0,0,0,0,0,0,-203,288542,930,50,0,0,0,0,0,0,0,0,289522,33756,109,6,0,0,0,0,0,0,0,0,33871,"May 31, 2025"
8,Diversified,4734,179,0,0,0,0,0,0,0,0,0,4913,553,21,0,0,0,0,0,0,0,0,0,574,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-111,0,0,0,0,0,0,0,0,0,0,-111,-13,0,0,0,0,0,0,0,0,0,0,-13,4763,179,0,0,0,0,0,0,0,0,0,4942,557,21,0,0,0,0,0,0,0,0,0,578,"May 31, 2025"
9,Fast Moving Consumer Goods,392121,104,285,0,0,0,0,0,0,0,0,392510,45815,12,33,0,0,0,0,0,0,0,0,45860,-1057,0,0,0,0,0,0,0,0,0,0,-1057,-124,0,0,0,0,0,0,0,0,0,0,-124,1872,0,0,0,0,0,0,0,0,0,0,1872,219,0,0,0,0,0,0,0,0,0,0,219,386868,104,285,0,0,0,0,0,0,0,0,387257,45259,12,33,0,0,0,0,0,0,0,0,45304,"May 31, 2025"
10,Financial Services,2243421,16411,15336,0,0,0,0,0,0,483,0,2275651,262121,1917,1792,0,0,0,0,0,0,56,0,265886,4728,-1464,-365,0,0,0,0,0,0,2,0,2901,552,-171,-43,0,0,0,0,0,0,0,0,338,-700,660,1009,0,0,0,0,0,0,0,0,969,-82,77,118,0,0,0,0,0,0,0,0,113,2257620,16684,15437,0,0,0,0,0,0,480,0,2290221,264118,1952,1806,0,0,0,0,0,0,56,0,267932,"May 31, 2025"
11,Forest Materials,3258,494,0,0,0,0,0,0,0,0,0,3752,381,58,0,0,0,0,0,0,0,0,0,439,-12,0,0,0,0,0,0,0,0,0,0,-12,-1,0,0,0,0,0,0,0,0,0,0,-1,21,-10,0,0,0,0,0,0,0,0,0,11,2,-1,0,0,0,0,0,0,0,0,0,1,3448,484,0,0,0,0,0,0,0,0,0,3932,403,57,0,0,0,0,0,0,0,0,0,460,"May 31, 2025"
12,Healthcare,474937,477,1300,0,0,0,0,0,0,0,0,476714,55492,56,152,0,0,0,0,0,0,0,0,55700,-606,0,-76,0,0,0,0,0,0,0,0,-682,-71,0,-9,0,0,0,0,0,0,0,0,-80,-2008,0,0,0,0,0,0,0,0,0,0,-2008,-235,0,0,0,0,0,0,0,0,0,0,-235,468729,477,1300,0,0,0,0,0,0,0,0,470506,54836,56,152,0,0,0,0,0,0,0,0,55044,"May 31, 2025"
13,Information Technology,603929,0,0,0,0,0,0,0,0,0,0,603929,70563,0,0,0,0,0,0,0,0,0,0,70563,289,0,0,0,0,0,0,0,0,0,0,289,34,0,0,0,0,0,0,0,0,0,0,34,-2725,0,0,0,0,0,0,0,0,0,0,-2725,-319,0,0,0,0,0,0,0,0,0,0,-319,587238,0,0,0,0,0,0,0,0,0,0,587238,68701,0,0,0,0,0,0,0,0,0,0,68701,"May 31, 2025"
14,"Media, Entertainment & Publication",12878,0,0,0,0,0,0,0,0,0,0,12878,1505,0,0,0,0,0,0,0,0,0,0,1505,92,0,0,0,0,0,0,0,0,0,0,92,11,0,0,0,0,0,0,0,0,0,0,11,45,0,0,0,0,0,0,0,0,0,0,45,5,0,0,0,0,0,0,0,0,0,0,5,13236,0,0,0,0,0,0,0,0,0,0,13236,1549,0,0,0,0,0,0,0,0,0,0,1549,"May 31, 2025"
15,Metals & Mining,199112,115,1250,0,0,0,0,0,0,0,0,200477,23264,13,146,0,0,0,0,0,0,0,0,23423,104,0,0,0,0,0,0,0,0,0,0,104,12,0,0,0,0,0,0,0,0,0,0,12,-34,-5,0,0,0,0,0,0,0,0,0,-39,-4,-1,0,0,0,0,0,0,0,0,0,-5,197119,110,1250,0,0,0,0,0,0,0,0,198479,23061,13,146,0,0,0,0,0,0,0,0,23220,"May 31, 2025"
16,"Oil, Gas & Consumable Fuels",522486,692,0,0,0,0,0,0,0,0,0,523178,61047,81,0,0,0,0,0,0,0,0,0,61128,2130,204,0,0,0,0,0,0,0,0,0,2334,249,24,0,0,0,0,0,0,0,0,0,273,390,0,0,0,0,0,0,0,0,0,0,390,46,0,0,0,0,0,0,0,0,0,0,46,514852,697,0,0,0,0,0,0,0,0,0,515549,60232,82,0,0,0,0,0,0,0,0,0,60314,"May 31, 2025"
17,Power,250495,3477,5,0,5473,0,0,0,0,0,0,259450,29268,406,1,0,639,0,0,0,0,0,0,30314,-720,210,0,0,-7,0,0,0,0,0,0,-517,-84,25,0,0,-1,0,0,0,0,0,0,-60,-1774,0,0,0,-18,0,0,0,0,0,0,-1792,-208,0,0,0,-2,0,0,0,0,0,0,-210,245918,3477,5,0,5404,0,0,0,0,0,0,254804,28770,407,1,0,632,0,0,0,0,0,0,29810,"May 31, 2025"
18,Realty,140475,980,1046,0,24019,0,0,0,0,0,0,166520,16413,114,122,0,2806,0,0,0,0,0,0,19455,-842,0,0,0,18,0,0,0,0,0,0,-824,-98,0,0,0,2,0,0,0,0,0,0,-96,-822,0,0,0,-668,0,0,0,0,0,0,-1490,-96,0,0,0,-78,0,0,0,0,0,0,-174,147493,980,1040,0,23377,0,0,0,0,0,0,172890,17255,115,122,0,2735,0,0,0,0,0,0,20227,"May 31, 2025"
19,Services,156158,3455,2874,0,3377,0,0,0,0,0,0,165864,18246,404,336,0,395,0,0,0,0,0,0,19381,1762,0,0,0,-6,0,0,0,0,0,0,1756,206,0,0,0,-1,0,0,0,0,0,0,205,6210,0,0,0,-7,0,0,0,0,0,0,6203,727,0,0,0,-1,0,0,0,0,0,0,726,161268,3455,2874,0,3383,0,0,0,0,0,0,170980,18867,404,336,0,396,0,0,0,0,0,0,20003,"May 31, 2025"
20,Telecommunication,332526,121,7900,0,11935,0,0,0,0,0,0,352482,38852,14,923,0,1394,0,0,0,0,0,0,41183,1037,0,0,0,0,0,0,0,0,0,0,1037,121,0,0,0,0,0,0,0,0,0,0,121,7052,0,0,0,0,0,0,0,0,0,0,7052,825,0,0,0,0,0,0,0,0,0,0,825,338241,121,7900,0,11935,0,0,0,0,0,0,358197,39571,14,924,0,1396,0,0,0,0,0,0,41905,"May 31, 2025"
21,Textiles,25246,460,0,0,0,0,0,0,0,0,0,25706,2950,54,0,0,0,0,0,0,0,0,0,3004,-92,0,0,0,0,0,0,0,0,0,0,-92,-11,0,0,0,0,0,0,0,0,0,0,-11,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24946,460,0,0,0,0,0,0,0,0,0,25406,2918,54,0,0,0,0,0,0,0,0,0,2972,"May 31, 2025"
22,Utilities,2404,83,0,0,0,0,0,0,0,0,0,2487,281,10,0,0,0,0,0,0,0,0,0,291,7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,1,16,-6,0,0,0,0,0,0,0,0,0,10,2,-1,0,0,0,0,0,0,0,0,0,1,2668,78,0,0,0,0,0,0,0,0,0,2746,312,9,0,0,0,0,0,0,0,0,0,321,"May 31, 2025"
23,Sovereign,0,59043,745,280045,0,0,0,0,0,0,0,339833,0,6899,87,32720,0,0,0,0,0,0,0,39706,0,-3176,134,-1476,0,0,0,0,0,0,0,-4518,0,-371,16,-172,0,0,0,0,0,0,0,-527,0,-3572,-295,-7883,0,0,0,0,0,0,0,-11750,0,-418,-35,-922,0,0,0,0,0,0,0,-1375,0,54686,460,267856,0,0,0,0,0,0,0,323002,0,6398,54,31336,0,0,0,0,0,0,0,37788,"May 31, 2025"
24,Others,50083,75138,132652,0,9605,5727,1856,183,0,2779,25,278048,5852,8779,15499,0,1122,669,217,21,0,325,3,32487,796,-1740,1484,0,0,-527,-53,1,0,15,0,-24,93,-203,173,0,0,-62,-6,0,0,2,0,-3,-540,28564,9,0,0,99,1,63,0,22,0,28218,-63,3342,1,0,0,12,0,7,0,3,0,3302,52539,98012,129330,0,9605,5904,1893,256,0,2796,25,300360,6147,11466,15130,0,1124,691,221,30,0,327,3,35139,"May 31, 2025"
,Grand Total,7132075,164165,164005,280045,54510,5727,1856,183,0,3262,25,7805853,833312,19181,19162,32720,6369,669,217,21,0,381,3,912035,12873,-6012,1177,-1476,4,-527,-53,1,0,17,0,6004,1504,-702,138,-172,0,-62,-6,0,0,2,0,702,6987,25627,723,-7883,-693,99,1,63,0,21,0,24945,817,2998,85,-922,-81,12,0,7,0,3,0,2919,7126360,182936,160713,267856,53811,5904,1893,256,0,3276,25,7803030,833709,21402,18802,31336,6295,691,221,30,0,383,3,912872,"May 31, 2025"
